,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp
323,456,28,AC-34,B,AC-34B,2023-03-25,70,70,-12.0,16.41726798,66.06140904,564165.8276,7327480.284,10:30:00,2023-03-26,plus,0.0,-13.6
322,455,27,AC-24,B,AC-24B,2023-03-27,55,55,-10.0,15.75089585,66.21837029,533788.2675,7344453.175,11:30:00,2023-03-28,plus,0.0,-15.2
58,68,73,AC-22,A,AC-22A,2019-04-08,70,70,,15.66018048,66.26705978,529649.2181,7349834.175,14:32:30,2019-04-09,plus,0.2,-8.0
60,70,77,AC-23,A,AC-23A,2019-04-08,110,110,-10.0,15.37146429,66.23064849,516707.0051,7345668.731,09:52:30,2019-04-09,plus,0.2,-8.0
51,52,54,AC-32,A,AC-32A,2019-03-11,65,65,-15.0,15.88210448,66.05188319,539953.2836,7325974.195,08:15:00,2019-03-12,plus,0.0,-14.7
340,479,52,AC-34,C,AC-34C,2023-03-25,60,60,-12.0,16.38630033,66.02781699,562846.7651,7323705.379,10:30:00,2023-03-26,plus,0.0,-13.6
19,25,27,AC-46,A,AC-46A,2018-03-31,110,110,-10.0,15.24173924,66.1936143,510888.4485,7341512.132,10:32:30,2018-04-01,plus,0.2,-8.9
341,480,53,AC-30,C,AC-30C,2023-03-25,60,60,-10.0,16.40948664,66.08242527,563760.9059,7329814.416,11:32:30,2023-03-26,plus,0.0,-13.6
62,71,78,AC-33,A,AC-33A,2020-02-26,170,170,-15.0,16.03670724,66.06518167,546930.7414,7327563.494,13:17:30,2020-02-27,plus,0.0,-15.1
320,454,26,AC-25,B,AC-25B,2023-03-27,85,85,-8.0,15.92210788,66.22488338,541481.2433,7345282.029,13:50:00,2023-03-28,plus,0.0,-15.2
64,72,79,AC-42,A,AC-42A,2020-02-27,75,75,-15.0,15.76098076,65.90840731,534661.4522,7309911.059,11:45:00,2020-02-28,plus,0.3,-13.4
65,103,111,AC-41,A,AC-41A,2021-03-15,90,90,-10.0,16.26443367,65.83598422,557753.5181,7302210.037,05:54:00,2021-03-16,plus,0.1,-7.6
17,12,13,AC-35,A,AC-35A,2017-03-06,30,30,-10.0,16.55332624,65.98731394,570529.3876,7319369.401,12:47:30,2017-03-07,plus,0.1,-14.9
339,478,51,AC-24,C,AC-24C,2023-03-27,70,70,-10.0,15.78131809,66.18466847,535204.0008,7340713.562,11:30:00,2023-03-28,plus,0.0,-15.2
50,45,47,AC-29,A,AC-29A,2018-04-02,145,145,-5.0,16.14107316,66.10983041,551564.2798,7332621.634,12:12:30,2018-04-03,plus,0.0,-9.8
69,124,132,AC-28,A,AC-28A,2022-03-12,80,80,-3.0,15.8491718,66.15323252,538308.6585,7337249.602,07:00:00,2022-03-13,plus,0.0,-3.4
