ID,ERA5_time,t2m,rsn,sd
383,2021-04-12T09,269.58862,236.35936,0.18880177
384,2021-04-12T11,270.81628,236.78123,0.19139099
385,2021-04-17T03,270.4629,234.27342,0.12815475
386,2021-04-17T05,270.68933,251.28905,0.17269516
387,2021-05-03T02,262.27942,313.02344,0.14853668
388,2021-05-03T04,264.44836,299.34375,0.12867069
389,2021-03-10T06,255.60011,222.66405,0.15847969
390,2021-03-15T05,268.3147,247.49217,0.20615387
391,2021-03-16T08,266.42468,213.76561,0.14760017
392,2021-03-16T12,270.08447,214.39842,0.14721775
393,2021-03-18T05,260.3589,237.4453,0.17479706
394,2021-03-18T06,261.55518,258.46094,0.21024704
395,2021-03-18T07,264.0984,249.76561,0.19073677
396,2021-03-18T09,263.77075,237.86717,0.17535877
397,2021-03-26T05,266.82703,285.2578,0.19920826
398,2021-03-26T06,267.8681,285.375,0.20010662
399,2021-03-26T08,272.3883,275.59375,0.18960667
400,2021-03-26T09,273.9618,275.75,0.18961906
401,2021-03-28T05,270.92474,266.73438,0.1933384
402,2021-03-28T07,270.73572,250.5703,0.18645859
403,2021-04-12T03,267.20007,275.0547,0.22408772
404,2021-04-12T05,266.77344,262.53906,0.22983551
405,2021-04-12T06,267.6361,249.24217,0.20934296
406,2022-01-31T09,258.4284,214.73436,0.14311314
407,2022-02-19T09,261.18677,181.46873,0.12873554
408,2022-02-19T08,260.06592,181.35936,0.12872314
409,2022-03-04T07,261.1631,237.78905,0.19956875
410,2022-03-09T08,269.5547,229.9453,0.14254189
411,2022-03-12T07,268.2881,282.46875,0.30992413
412,2022-03-12T09,270.85986,257.34375,0.2115612
413,2022-03-13T10,271.1372,267.1953,0.21067905
414,2022-03-13T08,266.4944,267.01562,0.20957565
415,2022-03-13T05,262.91797,270.59375,0.21493626
416,2022-03-13T06,262.6819,270.73438,0.21480751
417,2022-03-14T14,273.59485,279.21094,0.28533363
418,2022-03-14T11,272.802,284.1953,0.2983427
419,2022-03-14T09,269.54688,289.41406,0.31015015
420,2022-03-14T08,267.9546,287.84375,0.29192257
421,2022-03-14T06,267.20508,287.60156,0.29185486
422,2022-03-15T10,271.78406,281.75,0.28532314
423,2022-03-15T07,266.47217,265.9297,0.21453285
424,2022-03-15T07,267.83545,244.99998,0.18265057
425,2022-03-15T08,268.64795,281.33594,0.28110504
426,2022-03-16T13,271.00366,289.8047,0.29871845
427,2022-03-16T09,267.9082,263.14844,0.20112514
428,2022-04-15T10,270.9463,249.53123,0.21389866
429,2023-03-26T12,262.19165,166.31248,0.07079697
430,2023-03-27T13,263.1372,167.5078,0.06964302
431,2023-03-27T11,260.3127,167.42186,0.07019234
432,2023-03-25T10,264.70752,148.64061,0.007925987
433,2023-03-25T11,266.77173,149.24217,0.0075473785
434,2023-03-11T08,258.92776,132.71092,0.020793915
435,2023-03-11T10,263.61206,134.10155,0.020285606
436,2023-03-07T12,259.1808,138.6953,0.029305458
437,2023-03-25T12,267.9663,149.87498,0.0072755814
438,2023-03-11T11,265.06396,134.35155,0.030883789
439,2023-03-25T13,261.24902,160.7578,0.06512833
440,2023-04-17T11,276.30713,271.625,0.08622646
441,2023-04-13T06,272.69678,226.1328,0.06943703
442,2023-04-13T09,274.1427,233.87498,0.07277393
443,2023-03-12T07,256.47772,145.0703,0.003777504
444,2023-03-12T08,260.5174,150.04686,0.0038776398
445,2023-03-06T11,262.28345,137.27342,0.027602196
446,2023-03-06T13,261.6243,136.28123,0.017495155
447,2023-03-07T11,258.87683,125.35155,0.018426895
448,2023-03-07T09,259.8515,101.812485,0.00056934357
449,2023-03-07T08,258.4262,104.3828,0.00067424774
450,2023-03-06T09,260.3539,135.18748,0.028878212
452,2023-04-17T05,271.77234,267.3203,0.08911991
453,2023-03-26T12,261.7776,161.89842,0.066550255
454,2023-03-27T13,262.8462,163.03123,0.06553459
455,2023-03-27T11,260.3127,167.42186,0.07019234
456,2023-03-25T10,263.48877,149.65623,0.010710716
457,2023-03-25T11,266.77173,149.24217,0.0075473785
458,2023-03-11T08,259.6602,122.906235,0.0040712357
459,2023-03-11T10,263.61206,134.10155,0.020285606
460,2023-03-07T12,259.2472,127.39061,0.028438568
461,2023-03-25T12,262.11084,158.82811,0.050979614
462,2023-03-11T11,265.06396,134.35155,0.030883789
463,2023-03-25T13,261.24902,160.7578,0.06512833
464,2023-04-17T11,276.23486,258.14844,0.06943703
465,2023-04-13T06,272.69678,226.1328,0.06943703
466,2023-04-13T09,274.1427,233.87498,0.07277393
467,2023-03-12T07,256.47772,145.0703,0.003777504
468,2023-03-12T08,260.5174,150.04686,0.0038776398
469,2023-03-06T11,262.28735,135.47655,0.017801285
470,2023-03-06T13,261.6243,136.28123,0.017495155
471,2023-03-07T11,258.87683,125.35155,0.018426895
472,2023-03-07T09,259.6933,103.624985,0.0006952286
473,2023-03-07T08,258.4262,104.3828,0.00067424774
474,2023-03-06T09,262.3539,127.5078,0.0015916824
