ID,ERA5_time,skt,rsn,sd
444,2023-03-12T08,-13.0,150.0,0.0038776397705078125
445,2023-03-06T11,-12.0,137.0,0.027602195739746094
446,2023-03-06T13,-12.0,136.0,0.017495155334472656
447,2023-03-07T11,-13.0,125.0,0.018426895141601562
448,2023-03-07T09,-13.0,102.0,0.0005693435668945312
449,2023-03-07T08,-14.0,104.0,0.0006742477416992188
450,2023-03-06T09,-13.0,135.0,0.028878211975097656
452,2023-04-17T05,-2.0,267.0,0.08911991119384766
453,2023-03-26T12,-16.0,162.0,0.06655025482177734
454,2023-03-27T13,-19.0,163.0,0.06553459167480469
455,2023-03-27T11,-20.0,167.0,0.07019233703613281
456,2023-03-25T10,-10.0,150.0,0.010710716247558594
457,2023-03-25T11,-7.0,149.0,0.0075473785400390625
458,2023-03-11T08,-14.0,123.0,0.004071235656738281
459,2023-03-11T10,-10.0,134.0,0.020285606384277344
460,2023-03-07T12,-14.0,127.0,0.028438568115234375
461,2023-03-25T12,-15.0,159.0,0.0509796142578125
462,2023-03-11T11,-9.0,134.0,0.0308837890625
463,2023-03-25T13,-17.0,161.0,0.06512832641601562
464,2023-04-17T11,2.0,258.0,0.06943702697753906
465,2023-04-13T06,-3.0,226.0,0.06943702697753906
466,2023-04-13T09,-1.0,234.0,0.07277393341064453
467,2023-03-12T07,-17.0,145.0,0.0037775039672851562
468,2023-03-12T08,-13.0,150.0,0.0038776397705078125
469,2023-03-06T11,-11.0,135.0,0.017801284790039062
470,2023-03-06T13,-12.0,136.0,0.017495155334472656
471,2023-03-07T11,-13.0,125.0,0.018426895141601562
472,2023-03-07T09,-13.0,104.0,0.0006952285766601562
473,2023-03-07T08,-14.0,104.0,0.0006742477416992188
474,2023-03-06T09,-10.0,128.0,0.0015916824340820312
475,2023-04-17T05,-2.0,267.0,0.08911991119384766
476,2023-03-26T12,-16.0,162.0,0.06655025482177734
477,2023-03-27T13,-19.0,163.0,0.06553459167480469
478,2023-03-27T11,-20.0,167.0,0.07019233703613281
479,2023-03-25T10,-10.0,150.0,0.010710716247558594
480,2023-03-25T11,-9.0,150.0,0.010362625122070312
481,2023-03-11T08,-15.0,133.0,0.020793914794921875
482,2023-03-11T10,-10.0,134.0,0.020285606384277344
483,2023-03-07T12,-14.0,127.0,0.028438568115234375
484,2023-03-25T12,-15.0,159.0,0.0509796142578125
485,2023-03-11T11,-9.0,134.0,0.0308837890625
486,2023-03-25T13,-15.0,159.0,0.050807952880859375
487,2023-04-17T11,2.0,258.0,0.06943702697753906
488,2023-04-13T06,-3.0,226.0,0.06943702697753906
489,2023-04-13T09,-1.0,234.0,0.07277393341064453
490,2023-03-12T07,-16.0,150.0,0.0038557052612304688
491,2023-03-12T08,-13.0,150.0,0.0038776397705078125
492,2023-03-06T11,-11.0,135.0,0.017801284790039062
493,2023-03-06T13,-12.0,136.0,0.017495155334472656
494,2023-03-07T11,-10.0,100.0,0.0008602142333984375
495,2023-03-07T09,-13.0,104.0,0.0006952285766601562
