ID,ERA5_time,t2m,skt,rsn,sd,tsn,tcsw
290,2017-03-04T09,259.69147,257.03937,207.35155,0.14328575,256.46802,0.0
291,2017-03-04T11,263.5598,258.97272,200.14061,0.13568115,258.47803,0.0
292,2017-03-04T12,265.3308,259.523,200.22655,0.13568401,259.14502,0.0
293,2017-03-04T14,264.61768,254.85553,244.04686,0.22111607,258.99048,0.0
294,2017-03-05T10,256.41153,253.66,245.31248,0.21681976,252.96333,0.0
295,2017-03-05T12,261.75537,255.95021,258.70312,0.2367382,256.07404,0.0
296,2017-03-06T10,258.86923,254.44402,213.17186,0.15128899,252.1565,0.0
297,2017-03-06T11,261.39282,255.56206,213.22655,0.1512928,253.57523,0.0
298,2017-03-06T12,263.02686,256.5642,202.10936,0.13552094,255.61398,0.0
299,2017-03-17T14,274.17175,272.55444,230.49998,0.13861561,272.06,0.045410156
300,2017-03-17T11,272.8463,271.28296,261.89062,0.25717068,271.9939,0.060058594
301,2017-03-17T07,270.0952,269.62,261.0625,0.2579937,271.28607,0.008300781
302,2017-03-31T08,264.60938,262.9756,301.25,0.37515163,263.63745,0.0
303,2017-03-31T10,267.1411,265.0332,302.17188,0.38817787,264.6643,0.0
304,2017-03-17T11,272.41272,271.15796,284.34375,0.34397888,272.5232,0.048828125
305,2017-03-17T13,272.474,271.20068,288.28906,0.36819172,272.5805,0.072265625
306,2017-04-18T08,265.74536,267.0337,329.3125,0.41314888,265.51758,0.0
307,2017-04-14T12,264.8142,265.49072,315.2578,0.38380337,265.41382,0.03125
308,2017-04-16T09,266.49133,265.44006,299.0,0.28521633,263.70825,0.009765625
309,2017-04-16T06,263.13647,260.60742,298.8047,0.28552437,263.54517,0.0
310,2017-04-18T12,269.86865,269.75293,329.9453,0.40900326,266.6748,0.0
311,2017-04-18T10,268.6577,270.0581,330.10156,0.41689873,267.46094,0.0
312,2018-03-31T10,267.7024,266.64722,247.53905,0.2563429,266.344,0.0024414062
313,2018-03-31T08,264.4519,263.84888,258.53906,0.30726814,262.96167,0.00048828125
314,2018-03-30T09,267.70093,266.2473,259.90625,0.29037285,266.0686,0.00048828125
315,2018-03-30T10,268.646,266.1548,260.01562,0.29031754,266.3191,0.00048828125
316,2018-03-30T12,269.33887,265.70093,273.4453,0.3339672,266.2212,0.0
317,2018-03-29T11,267.19263,265.17798,276.0,0.35393524,263.18872,0.0043945312
318,2018-03-15T12,262.82617,255.9329,271.46875,0.35237312,256.78064,0.0
319,2018-04-17T11,281.7422,275.58643,336.95312,0.41838074,272.143,0.0
320,2018-03-15T11,260.6526,256.93597,267.90625,0.3382597,256.49323,0.0
321,2018-03-15T10,258.43695,255.48274,271.32812,0.35237122,255.57364,0.0
322,2018-03-16T11,263.67407,256.91797,272.6172,0.35282612,255.12299,0.0
323,2018-03-16T10,261.18085,255.8645,272.54688,0.3528223,253.79897,0.0
324,2018-03-16T13,262.021,254.7953,265.42188,0.30121136,255.3561,0.0
325,2018-03-28T13,268.58496,264.22314,272.90625,0.35671902,265.81567,0.0
326,2018-03-28T10,267.7473,264.50635,279.77344,0.3776617,265.96606,0.0
327,2018-03-28T14,268.5337,263.69678,286.0078,0.3985281,266.09546,0.0
328,2018-03-28T08,265.76807,264.55518,285.0703,0.39909363,264.8506,0.0
329,2018-03-30T14,269.22046,264.3352,273.75,0.33397007,266.09937,0.00048828125
330,2018-04-02T15,267.28955,261.88428,295.65625,0.3906412,265.1726,0.0
331,2018-04-02T13,268.57593,265.70312,297.57812,0.38965988,265.61108,0.0
332,2018-04-02T12,268.61426,266.19067,297.4453,0.3896637,265.7749,0.0
333,2018-03-23T13,267.66748,265.396,289.875,0.36840534,264.11597,0.043945312
334,2018-03-23T11,266.19995,265.13647,289.67188,0.3684044,263.4912,0.0078125
335,2018-03-23T09,264.135,264.6687,288.2422,0.35379124,263.396,0.0063476562
336,2018-03-23T08,262.52588,264.19214,288.10938,0.35380077,262.3296,0.006591797
337,2019-04-03T08,270.7837,269.76123,240.03905,0.2260313,271.5923,0.0063476562
338,2019-04-05T08,267.98706,267.32056,270.4453,0.29547215,271.4121,0.0
339,2019-03-11T08,256.99207,254.44684,200.30467,0.15765858,257.10114,0.0
