ID,ERA5_time,era5_l_lai_hv,era5_l_lai_lv,era5_l_skt,era5_l_rsn,era5_l_sde,era5_l_sd,era5_l_tsn,tp
359,2020-02-27T13,4.9074736,1.0697163,252.44183,315.74777,1.7060506,0.53884864,254.17365,9.186317e-11
360,2020-03-19T13,3.4067643,0.8631676,268.32806,322.6481,1.4267526,0.46045488,267.70673,0.00039839753
361,2020-03-19T13,3.7719872,0.8801114,268.91827,320.14862,1.3505684,0.43234035,267.9002,0.00043480666
362,2020-04-05T13,4.5052557,0.91920185,264.16867,327.61508,1.8154044,0.5943116,261.68414,6.5116306e-05
363,2020-04-05T13,3.7455184,0.660026,266.0597,331.4765,1.6025115,0.53106034,263.1432,4.4111253e-05
364,2020-04-06T13,4.0443025,0.76854926,271.3435,330.63797,1.7011611,0.5619582,265.45557,0.0005594363
365,2020-04-21T13,4.002807,0.8779474,275.9676,358.48502,1.225555,0.43895403,273.1591,3.500002e-06
366,2020-04-22T13,3.8820577,0.89539766,275.79462,365.51355,1.3105271,0.47843182,273.09964,3.500002e-06
367,2020-04-27T13,4.9408073,0.8962264,272.85123,382.71097,1.8886813,0.7227037,271.5141,0.0017525275
368,2020-04-28T13,4.2226424,0.68861866,273.0946,394.96817,2.3271534,0.9190967,271.46484,0.00038019204
369,2020-04-28T13,7.567342e-09,0.7680889,272.94962,386.57773,2.182648,0.84366506,271.6073,0.0004159008
370,2020-04-28T13,1.0232803,0.7582817,273.0005,391.05334,2.3242462,0.9087038,271.60553,0.00033468203
371,2020-04-28T13,4.878793,1.0584818,272.90295,387.99304,1.9169613,0.74361724,271.5039,0.00058954407
372,2020-04-28T13,4.680163,0.81638795,272.25424,384.25983,1.746092,0.6707136,270.44156,0.0007162747
373,2020-04-29T13,4.4149413,0.78761107,272.57224,382.52405,1.3681443,0.5234763,270.04263,0.0004985222
374,2020-04-29T13,4.755526,0.6422074,272.34583,382.03802,1.4716834,0.5623157,269.8904,0.00049922254
375,2020-04-29T13,4.6687975,0.8247217,272.23645,384.6657,1.616189,0.62168556,269.80255,0.00052092795
376,2020-04-29T13,3.8423164,0.5853443,271.20105,386.27332,1.9472896,0.75212055,268.79303,0.00048521915
377,2020-04-29T13,3.6639764,0.50951153,271.10776,387.3735,2.0107214,0.7788306,268.73047,0.00044810967
378,2020-05-01T13,4.9344764,0.74497527,272.7325,391.34174,1.9267404,0.75436765,269.04242,0.00044390754
379,2020-05-09T13,1.1296129,0.8299706,273.01236,413.06287,2.4219048,1.000376,271.13248,0.0003892948
380,2020-05-09T13,0.45408773,0.7970038,274.2428,416.53973,2.4277194,1.0112796,271.72977,0.0004341063
381,2020-04-29T13,4.849349,0.6232837,271.25192,384.3346,1.792939,0.68915015,268.7127,0.0005153251
382,2021-04-12T13,7.567342e-09,0.75901836,267.06964,311.42706,1.718737,0.5352992,264.15582,0.00010362463
383,2021-04-12T13,1.0232803,0.7380228,267.4326,311.72614,1.774438,0.55304635,264.67148,0.00013093287
