,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,temperature,x_4326,y_4326,x_3006,y_3006
140,148,AC-42,A,AC-42A,2022-03-16,60,,15.76098076,65.90840731,534661.4522,7309911.059
141,149,AC-37,A,AC-37A,2022-04-15,130,-5.0,15.84881121,65.9380027,538617.1852,7313260.876
142,150,AC-42,B,AC-42B,2017-02-21,85,-5.0,15.76104404,65.87253495,534712.811,7305912.951
143,151,AC-38,B,AC-38B,2017-02-26,75,-10.0,16.06601119,65.92904529,548515.1091,7312413.359
144,152,AC-37,B,AC-37B,2017-02-26,70,-8.0,15.93669383,65.93795328,542615.3144,7313312.254
145,153,AC-31,B,AC-31B,2017-02-26,60,-8.0,15.63274264,66.01705338,528698.4479,7321955.65
146,154,AC-39,B,AC-39B,2017-03-04,70,-15.0,16.0215596,65.89003991,546562.9883,7308032.57
147,155,AC-40,B,AC-40B,2017-03-04,75,-9.0,16.17741866,65.87209272,553703.9877,7306156.875
148,156,AC-41,B,AC-41B,2017-03-04,13,-9.0,16.35196411,65.83569752,561751.7168,7302261.377
149,157,AC-33,B,AC-33B,2017-03-04,30,-7.0,16.12502754,66.06502455,550928.8997,7327614.924
150,158,AC-32,B,AC-32B,2017-03-05,125,-14.0,15.96743701,66.06109946,543802.1738,7327058.39
151,159,AC-27,B,AC-27B,2017-03-05,70,-10.0,15.77325645,66.10627946,534948.6291,7331971.961
152,160,AC-30,B,AC-30B,2017-03-06,130,-10.0,16.3475215,66.10802569,560896.7912,7332605.764
153,161,AC-34,B,AC-34B,2017-03-06,125,-10.0,16.41726798,66.06140904,564165.8276,7327480.284
154,162,AC-35,B,AC-35B,2017-03-06,95,-10.0,16.55437651,66.02318273,570477.9784,7323367.637
155,163,AC-36,B,AC-36B,2017-03-17,70,-10.0,16.76838233,66.0304171,580156.6735,7324430.853
156,164,AC-29,B,AC-29B,2017-03-17,115,-10.0,16.13381444,66.1455831,551164.1776,7336600.318
157,165,AC-26,B,AC-26B,2017-03-17,35,-15.0,16.06001278,66.19911613,547733.1046,7342508.393
158,166,AC-25,B,AC-25B,2017-03-31,145,-10.0,15.92210788,66.22488338,541481.2433,7345282.029
159,167,AC-24,B,AC-24B,2017-03-31,60,-8.0,15.75089585,66.21837029,533788.2675,7344453.175
160,168,AC-22,B,AC-22B,2017-03-17,140,-7.0,15.6976547,66.29959822,531291.7265,7353479.21
161,169,AC-21,B,AC-21B,2017-03-17,185,-5.0,15.58142379,66.32569497,526051.5524,7356334.762
162,170,AC-23,B,AC-23B,2017-04-18,70,-10.0,15.45909231,66.2246367,520653.0315,7345024.777
163,171,AC-28,B,AC-28B,2017-04-14,50,,15.93648025,66.15941633,542236.8719,7337994.957
164,172,AC-33,B,AC-33B,2017-04-16,15,-8.0,16.12502754,66.06502455,550928.8997,7327614.924
165,173,AC-37,B,AC-37B,2017-04-16,70,-10.0,15.93669383,65.93795328,542615.3144,7313312.254
166,174,AC-43,B,AC-43B,2017-04-18,80,-5.0,15.29647724,66.09173882,513407.6892,7330167.287
167,175,AC-46,B,AC-46B,2017-04-18,45,-5.0,15.26675247,66.15918547,512031.4368,7337679.111
168,176,AC-46,B,AC-46B,2018-03-31,110,-10.0,15.26675247,66.15918547,512031.4368,7337679.111
169,177,AC-43,B,AC-43B,2018-03-31,40,-10.0,15.29647724,66.09173882,513407.6892,7330167.287
170,178,AC-23,B,AC-23B,2018-03-30,120,-8.0,15.45909231,66.2246367,520653.0315,7345024.777
171,179,AC-21,B,AC-21B,2018-03-30,80,-5.0,15.58142379,66.32569497,526051.5524,7356334.762
172,180,AC-22,B,AC-22B,2018-03-30,60,-5.0,15.6976547,66.29959822,531291.7265,7353479.21
173,181,AC-42,B,AC-42B,2018-03-29,110,-10.0,15.76104404,65.87253495,534712.811,7305912.951
174,182,AC-37,B,AC-37B,2018-03-15,45,-15.0,15.93669383,65.93795328,542615.3144,7313312.254
175,183,AC-37,B,AC-37B,2018-04-17,50,0.0,15.93669383,65.93795328,542615.3144,7313312.254
176,184,AC-39,B,AC-39B,2018-03-15,120,-15.0,16.0215596,65.89003991,546562.9883,7308032.57
177,185,AC-38,B,AC-38B,2018-03-15,120,-15.0,16.06601119,65.92904529,548515.1091,7312413.359
178,186,AC-40,B,AC-40B,2018-03-16,115,-15.0,16.17741866,65.87209272,553703.9877,7306156.875
179,187,AC-41,B,AC-41B,2018-03-16,200,-20.0,16.35196411,65.83569752,561751.7168,7302261.377
180,188,AC-31,B,AC-31B,2018-03-16,125,-10.0,15.63274264,66.01705338,528698.4479,7321955.65
181,189,AC-27,B,AC-27B,2018-03-28,60,-8.0,15.77325645,66.10627946,534948.6291,7331971.961
182,190,AC-28,B,AC-28B,2018-03-28,55,-8.0,15.93648025,66.15941633,542236.8719,7337994.957
183,191,AC-32,B,AC-32B,2018-03-28,250,-5.0,15.96743701,66.06109946,543802.1738,7327058.39
184,192,AC-33,B,AC-33B,2018-03-28,130,-10.0,16.12502754,66.06502455,550928.8997,7327614.924
185,193,AC-24,B,AC-24B,2018-03-30,90,-5.0,15.75089585,66.21837029,533788.2675,7344453.175
186,194,AC-25,B,AC-25B,2018-04-02,110,-5.0,15.92210788,66.22488338,541481.2433,7345282.029
187,195,AC-26,B,AC-26B,2018-04-02,75,-5.0,16.06001278,66.19911613,547733.1046,7342508.393
188,196,AC-29,B,AC-29B,2018-04-02,90,-5.0,16.13381444,66.1455831,551164.1776,7336600.318
189,197,AC-30,B,AC-30B,2018-03-23,165,-10.0,16.3475215,66.10802569,560896.7912,7332605.764
190,198,AC-34,B,AC-34B,2018-03-23,115,-10.0,16.41726798,66.06140904,564165.8276,7327480.284
191,199,AC-35,B,AC-35B,2018-03-23,120,-10.0,16.55437651,66.02318273,570477.9784,7323367.637
192,200,AC-36,B,AC-36B,2018-03-23,110,-15.0,16.76838233,66.0304171,580156.6735,7324430.853
193,201,AC-43,B,AC-43B,2019-04-03,30,-10.0,15.29647724,66.09173882,513407.6892,7330167.287
